21,12,9,7,4
21,12,9,7,2,4
21,12,11,8,7,4
21,15,11,8,7,4
21,15,12,9,7,4
21,12,13,9,7,4
21,17,13,9,7,4
21,17,12,9,7,4
21,22,12,9,7,4
21,12,9,8,7,4
21,12,9,8,3,4
21,12,11,8,3,4
21,15,11,8,3,4
21,12,9,7,3,4
21,12,9,8,2,4
21,12,11,8,2,4
21,15,11,8,2,4
21,12,9,7,3,2,4
21,12,11,8,2,7,4
21,12,9,8,2,7,4
21,15,11,8,3,7,4
21,12,11,8,3,7,4
21,12,9,8,3,7,4
21,15,11,10,5,7,4
21,12,11,10,5,7,4
21,15,14,10,5,7,4
21,20,14,10,5,7,4
21,20,18,10,5,7,4
21,15,11,8,5,7,4
21,12,11,8,5,7,4
21,12,9,8,5,7,4
21,12,15,11,8,7,4
21,22,15,11,8,7,4
21,20,15,11,8,7,4
21,15,12,11,8,7,4
21,22,12,11,8,7,4
21,17,12,11,8,7,4
21,17,15,11,8,7,4
21,15,11,10,8,7,4
21,12,11,10,8,7,4
21,15,14,10,8,7,4
21,20,14,10,8,7,4
21,20,18,10,8,7,4
21,22,12,9,8,7,4
21,17,12,9,8,7,4
21,17,13,9,8,7,4
21,12,13,9,8,7,4
21,15,12,9,8,7,4
21,12,11,8,9,7,4
21,12,17,13,9,7,4
21,22,17,13,9,7,4
21,15,12,13,9,7,4
21,22,12,13,9,7,4
21,17,12,13,9,7,4
21,15,17,13,9,7,4
21,22,15,12,9,7,4
21,20,15,12,9,7,4
21,15,17,12,9,7,4
21,22,17,12,9,7,4
21,15,22,12,9,7,4
21,17,22,12,9,7,4
21,15,11,12,9,7,4
21,17,13,12,9,7,4
21,17,15,12,9,7,4
21,15,11,8,9,7,4
21,15,11,8,2,7,4
21,15,11,8,2,3,4
21,12,11,8,2,3,4
21,12,9,8,2,3,4
21,12,9,7,5,3,4
21,15,11,10,5,3,4
21,12,11,10,5,3,4
21,15,14,10,5,3,4
21,20,14,10,5,3,4
21,20,18,10,5,3,4
21,15,11,8,5,3,4
21,12,11,8,5,3,4
21,12,9,8,5,3,4
21,12,9,8,7,3,4
21,22,12,9,7,3,4
21,17,12,9,7,3,4
21,17,13,9,7,3,4
21,12,13,9,7,3,4
21,15,12,9,7,3,4
21,15,11,8,7,3,4
21,12,11,8,7,3,4
21,12,9,7,8,3,4
21,12,15,11,8,3,4
21,22,15,11,8,3,4
21,20,15,11,8,3,4
21,15,12,11,8,3,4
21,22,12,11,8,3,4
21,17,12,11,8,3,4
21,17,15,11,8,3,4
21,15,11,10,8,3,4
21,12,11,10,8,3,4
21,15,14,10,8,3,4
21,20,14,10,8,3,4
21,20,18,10,8,3,4
21,22,12,9,8,3,4
21,17,12,9,8,3,4
21,17,13,9,8,3,4
21,12,13,9,8,3,4
21,15,12,9,8,3,4
21,12,9,7,2,3,4
21,15,11,8,3,2,4
21,12,11,8,3,2,4
21,12,9,8,3,2,4
21,12,9,7,5,2,4
21,15,11,10,5,2,4
21,12,11,10,5,2,4
21,15,14,10,5,2,4
21,20,14,10,5,2,4
21,20,18,10,5,2,4
21,15,11,8,5,2,4
21,12,11,8,5,2,4
21,12,9,8,5,2,4
21,12,9,8,7,2,4
21,22,12,9,7,2,4
21,17,12,9,7,2,4
21,17,13,9,7,2,4
21,12,13,9,7,2,4
21,15,12,9,7,2,4
21,15,11,8,7,2,4
21,12,11,8,7,2,4
21,12,9,7,8,2,4
21,12,15,11,8,2,4
21,22,15,11,8,2,4
21,20,15,11,8,2,4
21,15,12,11,8,2,4
21,22,12,11,8,2,4
21,17,12,11,8,2,4
21,17,15,11,8,2,4
21,15,11,10,8,2,4
21,12,11,10,8,2,4
21,15,14,10,8,2,4
21,20,14,10,8,2,4
21,20,18,10,8,2,4
21,22,12,9,8,2,4
21,17,12,9,8,2,4
21,17,13,9,8,2,4
21,12,13,9,8,2,4
21,15,12,9,8,2,4
21,12,9,8,5,1,2,4
21,12,13,9,8,2,7,4
21,17,13,9,8,2,7,4
21,17,12,9,8,2,7,4
21,22,12,9,8,2,7,4
21,20,18,10,8,2,7,4
21,20,14,10,8,2,7,4
21,15,14,10,8,2,7,4
21,12,11,10,8,2,7,4
21,15,11,10,8,2,7,4
21,17,15,11,8,2,7,4
21,17,12,11,8,2,7,4
21,22,12,11,8,2,7,4
21,15,12,11,8,2,7,4
21,20,15,11,8,2,7,4
21,22,15,11,8,2,7,4
21,12,15,11,8,2,7,4
21,12,9,8,5,2,7,4
21,12,11,8,5,2,7,4
21,15,11,8,5,2,7,4
21,20,18,10,5,2,7,4
21,20,14,10,5,2,7,4
21,15,14,10,5,2,7,4
21,12,11,10,5,2,7,4
21,15,11,10,5,2,7,4
21,12,9,8,3,2,7,4
21,12,11,8,3,2,7,4
21,15,11,8,3,2,7,4
21,15,12,9,8,3,7,4
21,12,13,9,8,3,7,4
21,17,13,9,8,3,7,4
21,17,12,9,8,3,7,4
21,22,12,9,8,3,7,4
21,20,18,10,8,3,7,4
21,20,14,10,8,3,7,4
21,15,14,10,8,3,7,4
21,12,11,10,8,3,7,4
21,15,11,10,8,3,7,4
21,17,15,11,8,3,7,4
21,17,12,11,8,3,7,4
21,22,12,11,8,3,7,4
21,15,12,11,8,3,7,4
21,20,15,11,8,3,7,4
21,22,15,11,8,3,7,4
21,12,15,11,8,3,7,4
21,12,9,8,5,3,7,4
21,12,11,8,5,3,7,4
21,15,11,8,5,3,7,4
21,20,18,10,5,3,7,4
21,20,14,10,5,3,7,4
21,15,14,10,5,3,7,4
21,12,11,10,5,3,7,4
21,15,11,10,5,3,7,4
21,12,9,8,2,3,7,4
21,12,11,8,2,3,7,4
21,15,11,8,2,3,7,4
21,12,11,8,10,5,7,4
21,15,11,8,10,5,7,4
21,17,15,11,10,5,7,4
21,17,12,11,10,5,7,4
21,22,12,11,10,5,7,4
21,15,12,11,10,5,7,4
21,20,15,11,10,5,7,4
21,22,15,11,10,5,7,4
21,12,15,11,10,5,7,4
21,17,15,14,10,5,7,4
21,15,20,14,10,5,7,4
21,20,18,14,10,5,7,4
21,20,15,14,10,5,7,4
21,22,15,14,10,5,7,4
21,12,15,14,10,5,7,4
21,15,20,18,10,5,7,4
21,20,14,18,10,5,7,4
21,15,14,18,10,5,7,4
21,12,9,8,10,5,7,4
21,15,12,9,8,5,7,4
21,12,13,9,8,5,7,4
21,17,13,9,8,5,7,4
21,17,12,9,8,5,7,4
21,22,12,9,8,5,7,4
21,20,18,10,8,5,7,4
21,20,14,10,8,5,7,4
21,15,14,10,8,5,7,4
21,12,11,10,8,5,7,4
21,15,11,10,8,5,7,4
21,17,15,11,8,5,7,4
21,17,12,11,8,5,7,4
21,22,12,11,8,5,7,4
21,15,12,11,8,5,7,4
21,20,15,11,8,5,7,4
21,22,15,11,8,5,7,4
21,12,15,11,8,5,7,4
21,12,9,8,3,5,7,4
21,12,11,8,3,5,7,4
21,15,11,8,3,5,7,4
21,12,9,8,2,5,7,4
21,12,11,8,2,5,7,4
21,15,11,8,2,5,7,4
21,20,18,10,11,8,7,4
21,20,14,10,11,8,7,4
21,15,14,10,11,8,7,4
21,17,15,12,11,8,7,4
21,17,13,12,11,8,7,4
21,17,22,12,11,8,7,4
21,15,22,12,11,8,7,4
21,22,17,12,11,8,7,4
21,15,17,12,11,8,7,4
21,20,15,12,11,8,7,4
21,22,15,12,11,8,7,4
21,12,17,15,11,8,7,4
21,20,14,15,11,8,7,4
21,17,12,15,11,8,7,4
21,22,12,15,11,8,7,4
21,17,22,15,11,8,7,4
21,12,22,15,11,8,7,4
21,22,17,15,11,8,7,4
21,17,15,11,10,8,7,4
21,17,12,11,10,8,7,4
21,22,12,11,10,8,7,4
21,15,12,11,10,8,7,4
21,20,15,11,10,8,7,4
21,22,15,11,10,8,7,4
21,12,15,11,10,8,7,4
21,17,15,14,10,8,7,4
21,15,20,14,10,8,7,4
21,20,18,14,10,8,7,4
21,20,15,14,10,8,7,4
21,22,15,14,10,8,7,4
21,12,15,14,10,8,7,4
21,15,20,18,10,8,7,4
21,20,14,18,10,8,7,4
21,15,14,18,10,8,7,4
21,17,15,12,9,8,7,4
21,17,13,12,9,8,7,4
21,15,11,12,9,8,7,4
21,17,22,12,9,8,7,4
21,15,22,12,9,8,7,4
21,22,17,12,9,8,7,4
21,15,17,12,9,8,7,4
21,20,15,12,9,8,7,4
21,22,15,12,9,8,7,4
21,15,17,13,9,8,7,4
21,17,12,13,9,8,7,4
21,22,12,13,9,8,7,4
21,15,12,13,9,8,7,4
21,22,17,13,9,8,7,4
21,12,17,13,9,8,7,4
21,20,18,10,5,8,7,4
21,20,14,10,5,8,7,4
21,15,14,10,5,8,7,4
21,12,11,10,5,8,7,4
21,15,11,10,5,8,7,4
21,17,15,12,13,9,7,4
21,15,11,12,13,9,7,4
21,17,22,12,13,9,7,4
21,15,22,12,13,9,7,4
21,22,17,12,13,9,7,4
21,15,17,12,13,9,7,4
21,20,15,12,13,9,7,4
21,22,15,12,13,9,7,4
21,12,15,17,13,9,7,4
21,22,12,17,13,9,7,4
21,15,12,17,13,9,7,4
21,22,23,17,13,9,7,4
21,12,22,17,13,9,7,4
21,15,22,17,13,9,7,4
21,20,15,17,13,9,7,4
21,22,15,17,13,9,7,4
21,17,15,11,12,9,7,4
21,20,15,11,12,9,7,4
21,22,15,11,12,9,7,4
21,15,17,13,12,9,7,4
21,22,17,13,12,9,7,4
21,20,14,15,12,9,7,4
21,17,22,15,12,9,7,4
21,22,17,15,12,9,7,4
21,22,23,17,12,9,7,4
21,15,22,17,12,9,7,4
21,20,15,17,12,9,7,4
21,22,15,17,12,9,7,4
21,17,15,22,12,9,7,4
21,17,23,22,12,9,7,4
21,15,17,22,12,9,7,4
21,20,15,22,12,9,7,4
21,20,18,10,8,9,7,4
21,20,14,10,8,9,7,4
21,15,14,10,8,9,7,4
21,12,11,10,8,9,7,4
21,15,11,10,8,9,7,4
21,17,15,11,8,9,7,4
21,17,12,11,8,9,7,4
21,22,12,11,8,9,7,4
21,15,12,11,8,9,7,4
21,20,15,11,8,9,7,4
21,22,15,11,8,9,7,4
21,12,15,11,8,9,7,4
21,15,12,9,8,2,7,4
21,12,13,9,8,2,3,4
21,17,13,9,8,2,3,4
21,17,12,9,8,2,3,4
21,22,12,9,8,2,3,4
21,20,18,10,8,2,3,4
21,20,14,10,8,2,3,4
21,15,14,10,8,2,3,4
21,12,11,10,8,2,3,4
21,15,11,10,8,2,3,4
21,17,15,11,8,2,3,4
21,17,12,11,8,2,3,4
21,22,12,11,8,2,3,4
21,15,12,11,8,2,3,4
21,20,15,11,8,2,3,4
21,22,15,11,8,2,3,4
21,12,15,11,8,2,3,4
21,12,9,7,8,2,3,4
21,12,11,8,7,2,3,4
21,15,11,8,7,2,3,4
21,15,12,9,7,2,3,4
21,12,13,9,7,2,3,4
21,17,13,9,7,2,3,4
21,17,12,9,7,2,3,4
21,22,12,9,7,2,3,4
21,12,9,8,7,2,3,4
21,12,9,8,5,2,3,4
21,12,11,8,5,2,3,4
21,15,11,8,5,2,3,4
21,20,18,10,5,2,3,4
21,20,14,10,5,2,3,4
21,15,14,10,5,2,3,4
21,12,11,10,5,2,3,4
21,15,11,10,5,2,3,4
21,12,9,7,5,2,3,4
21,12,9,7,2,5,3,4
21,12,11,8,10,5,3,4
21,15,11,8,10,5,3,4
21,17,15,11,10,5,3,4
21,17,12,11,10,5,3,4
21,22,12,11,10,5,3,4
21,15,12,11,10,5,3,4
21,20,15,11,10,5,3,4
21,22,15,11,10,5,3,4
21,12,15,11,10,5,3,4
21,17,15,14,10,5,3,4
21,15,20,14,10,5,3,4
21,20,18,14,10,5,3,4
21,20,15,14,10,5,3,4
21,22,15,14,10,5,3,4
21,12,15,14,10,5,3,4
21,15,20,18,10,5,3,4
21,20,14,18,10,5,3,4
21,15,14,18,10,5,3,4
21,12,9,8,10,5,3,4
21,15,12,9,8,5,3,4
21,12,13,9,8,5,3,4
21,17,13,9,8,5,3,4
21,17,12,9,8,5,3,4
21,22,12,9,8,5,3,4
21,20,18,10,8,5,3,4
21,20,14,10,8,5,3,4
21,15,14,10,8,5,3,4
21,12,11,10,8,5,3,4
21,15,11,10,8,5,3,4
21,17,15,11,8,5,3,4
21,17,12,11,8,5,3,4
21,22,12,11,8,5,3,4
21,15,12,11,8,5,3,4
21,20,15,11,8,5,3,4
21,22,15,11,8,5,3,4
21,12,15,11,8,5,3,4
21,12,9,7,8,5,3,4
21,12,11,8,7,5,3,4
21,15,11,8,7,5,3,4
21,15,12,9,7,5,3,4
21,12,13,9,7,5,3,4
21,17,13,9,7,5,3,4
21,17,12,9,7,5,3,4
21,22,12,9,7,5,3,4
21,12,9,8,7,5,3,4
21,12,9,8,2,5,3,4
21,12,11,8,2,5,3,4
21,15,11,8,2,5,3,4
21,15,11,8,2,7,3,4
21,15,11,8,9,7,3,4
21,17,15,12,9,7,3,4
21,17,13,12,9,7,3,4
21,15,11,12,9,7,3,4
21,17,22,12,9,7,3,4
21,15,22,12,9,7,3,4
21,22,17,12,9,7,3,4
21,15,17,12,9,7,3,4
21,20,15,12,9,7,3,4
21,22,15,12,9,7,3,4
21,15,17,13,9,7,3,4
21,17,12,13,9,7,3,4
21,22,12,13,9,7,3,4
21,15,12,13,9,7,3,4
21,22,17,13,9,7,3,4
21,12,17,13,9,7,3,4
21,12,11,8,9,7,3,4
21,15,12,9,8,7,3,4
21,12,13,9,8,7,3,4
21,17,13,9,8,7,3,4
21,17,12,9,8,7,3,4
21,22,12,9,8,7,3,4
21,20,18,10,8,7,3,4
21,20,14,10,8,7,3,4
21,15,14,10,8,7,3,4
21,12,11,10,8,7,3,4
21,15,11,10,8,7,3,4
21,17,15,11,8,7,3,4
21,17,12,11,8,7,3,4
21,22,12,11,8,7,3,4
21,15,12,11,8,7,3,4
21,20,15,11,8,7,3,4
21,22,15,11,8,7,3,4
21,12,15,11,8,7,3,4
21,12,9,8,5,7,3,4
21,12,11,8,5,7,3,4
21,15,11,8,5,7,3,4
21,20,18,10,5,7,3,4
21,20,14,10,5,7,3,4
21,15,14,10,5,7,3,4
21,12,11,10,5,7,3,4
21,15,11,10,5,7,3,4
21,12,9,8,2,7,3,4
21,12,11,8,2,7,3,4
21,12,9,7,2,8,3,4
21,20,18,10,11,8,3,4
21,20,14,10,11,8,3,4
21,15,14,10,11,8,3,4
21,17,15,12,11,8,3,4
21,17,13,12,11,8,3,4
21,17,22,12,11,8,3,4
21,15,22,12,11,8,3,4
21,22,17,12,11,8,3,4
21,15,17,12,11,8,3,4
21,20,15,12,11,8,3,4
21,22,15,12,11,8,3,4
21,12,17,15,11,8,3,4
21,20,14,15,11,8,3,4
21,17,12,15,11,8,3,4
21,22,12,15,11,8,3,4
21,17,22,15,11,8,3,4
21,12,22,15,11,8,3,4
21,22,17,15,11,8,3,4
21,17,15,11,10,8,3,4
21,17,12,11,10,8,3,4
21,22,12,11,10,8,3,4
21,15,12,11,10,8,3,4
21,20,15,11,10,8,3,4
21,22,15,11,10,8,3,4
21,12,15,11,10,8,3,4
21,17,15,14,10,8,3,4
21,15,20,14,10,8,3,4
21,20,18,14,10,8,3,4
21,20,15,14,10,8,3,4
21,22,15,14,10,8,3,4
21,12,15,14,10,8,3,4
21,15,20,18,10,8,3,4
21,20,14,18,10,8,3,4
